Date,Price
29-Sep-22,33.917
30-Sep-22,33.243
1-Oct-22,32.443
2-Oct-22,32.064
3-Oct-22,32.888
4-Oct-22,34.101
5-Oct-22,34.04
6-Oct-22,33.369
7-Oct-22,32.98
8-Oct-22,32.576
9-Oct-22,32.923
10-Oct-22,31.934
11-Oct-22,30.81
12-Oct-22,31.156
13-Oct-22,30.507
14-Oct-22,30.004
15-Oct-22,29.588
16-Oct-22,30.167
17-Oct-22,31.213
18-Oct-22,30.14
19-Oct-22,28.857
20-Oct-22,28.037
21-Oct-22,28.103
22-Oct-22,28.008
23-Oct-22,29.293
24-Oct-22,28.3
25-Oct-22,30.887
26-Oct-22,31.294
27-Oct-22,30.596
28-Oct-22,32.053
29-Oct-22,32.873
30-Oct-22,32.933
31-Oct-22,32.571
1-Nov-22,32.203
2-Nov-22,30.813
3-Nov-22,30.86
4-Nov-22,33.737
5-Nov-22,36.874
6-Nov-22,32.627
7-Nov-22,29.599
8-Nov-22,24.314
9-Nov-22,14.016
10-Nov-22,17.638
11-Nov-22,16.451
12-Nov-22,14.544
13-Nov-22,13.157
14-Nov-22,13.989
15-Nov-22,14.315
16-Nov-22,14.173
17-Nov-22,13.73
18-Nov-22,13.186
19-Nov-22,12.83
20-Nov-22,12.274
21-Nov-22,11.836
22-Nov-22,12.422
23-Nov-22,14.362
24-Nov-22,14.586
25-Nov-22,14.01
26-Nov-22,14.166
27-Nov-22,14.111
28-Nov-22,13.324
29-Nov-22,13.346
30-Nov-22,14.157
1-Dec-22,13.504
2-Dec-22,13.713
3-Dec-22,13.293
4-Dec-22,13.71
5-Dec-22,13.823
6-Dec-22,14.3
7-Dec-22,13.493
8-Dec-22,13.69
9-Dec-22,13.58
10-Dec-22,13.577
11-Dec-22,13.423
12-Dec-22,13.314
13-Dec-22,13.883
14-Dec-22,14.124
15-Dec-22,14.046
16-Dec-22,12.276
17-Dec-22,12.505
18-Dec-22,12.37
19-Dec-22,11.94
20-Dec-22,12.27
21-Dec-22,12.14
22-Dec-22,11.81
23-Dec-22,11.785
24-Dec-22,11.45
25-Dec-22,11.385
26-Dec-22,11.339
27-Dec-22,11.09
28-Dec-22,9.76
29-Dec-22,9.658
30-Dec-22,9.895
31-Dec-22,9.955
1-Jan-23,10
2-Jan-23,11.274
3-Jan-23,13.37
4-Jan-23,13.438
5-Jan-23,13.42
6-Jan-23,13.52
7-Jan-23,13.094
8-Jan-23,14.482
9-Jan-23,16.266
10-Jan-23,16.194
11-Jan-23,16.357
12-Jan-23,16.6
13-Jan-23,18.287
14-Jan-23,24.247
15-Jan-23,22.897
16-Jan-23,23.578
17-Jan-23,22.87
